 File  .text    Size                Crate Name
 0.2%   0.3% 21.8KiB   zokrates_analysis? <zokrates_analysis::zir_propagation::ZirPropagator<T> as zokrates_ast::zir::result_folder::ResultFolder<T>>::fold_field_expression_cases
 0.2%   0.3% 20.6KiB         zokrates_ast zokrates_ast::zir::result_folder::ResultFolder::fold_statement
 0.2%   0.3% 19.6KiB   zokrates_analysis? <zokrates_analysis::zir_propagation::ZirPropagator<T> as zokrates_ast::zir::result_folder::ResultFolder<T>>::fold_uint_expression_cases
 0.2%   0.3% 17.2KiB     webstream_applet webstream_applet::compute_witness
 0.2%   0.3% 16.4KiB   zokrates_analysis? <zokrates_analysis::zir_propagation::ZirPropagator<T> as zokrates_ast::zir::result_folder::ResultFolder<T>>::fold_boolean_expression_cases
 0.2%   0.2% 15.6KiB                  std std::backtrace_rs::symbolize::gimli::Context::new
 0.1%   0.2% 14.6KiB          ark_groth16 ark_groth16::prover::create_proof
 0.1%   0.2% 13.9KiB                  std std::backtrace_rs::symbolize::gimli::resolve
 0.1%   0.2% 12.4KiB zokrates_interpreter zokrates_interpreter::Interpreter::execute_with_log_stream
 0.1%   0.2% 10.4KiB            addr2line addr2line::ResUnit<R>::find_function_or_location::{{closure}}
 0.1%   0.1%  9.7KiB                gimli gimli::read::dwarf::Unit<R>::new
 0.1%   0.1%  9.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  9.5KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  9.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  9.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  9.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  9.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  9.3KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  9.2KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  9.2KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  8.7KiB          miniz_oxide miniz_oxide::inflate::core::decompress
 0.1%   0.1%  8.7KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  8.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  8.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
 0.1%   0.1%  8.6KiB           serde_cbor serde_cbor::de::Deserializer<R>::parse_value
