  Lines                  Copies               Function name
  -----                  ------               -------------
  3218125                65686                (TOTAL)
   720852 (22.4%, 22.4%)   696 (1.1%,  1.1%)  serde_cbor::de::Deserializer<R>::parse_value
   193256 (6.0%, 28.4%)    406 (0.6%,  1.7%)  <zokrates_ast::common::expressions::_::<impl serde::de::Deserialize for zokrates_ast::common::expressions::BinaryExpression<Op,L,R,Out>>::deserialize::__Visitor<Op,L,R,Out> as serde::de::Visitor>::visit_map
   172952 (5.4%, 33.8%)    696 (1.1%,  2.7%)  serde_cbor::de::Deserializer<R>::parse_indefinite_str
   139544 (4.3%, 38.1%)    696 (1.1%,  3.8%)  serde_cbor::de::Deserializer<R>::parse_indefinite_bytes
   122480 (3.8%, 41.9%)   3708 (5.6%,  9.4%)  serde_cbor::de::Deserializer<R>::recursion_checked
    90132 (2.8%, 44.7%)    406 (0.6%, 10.1%)  <zokrates_ast::common::expressions::_::<impl serde::de::Deserialize for zokrates_ast::common::expressions::BinaryExpression<Op,L,R,Out>>::deserialize::__Visitor<Op,L,R,Out> as serde::de::Visitor>::visit_seq
    82300 (2.6%, 47.3%)    696 (1.1%, 11.1%)  serde_cbor::de::Deserializer<R>::parse_str
    78260 (2.4%, 49.7%)    696 (1.1%, 12.2%)  serde_cbor::de::Deserializer<R>::parse_indefinite_map::{{closure}}
    68516 (2.1%, 51.8%)    696 (1.1%, 13.2%)  serde_cbor::de::Deserializer<R>::parse_indefinite_array::{{closure}}
    64536 (2.0%, 53.8%)    709 (1.1%, 14.3%)  <serde_cbor::de::IndefiniteSeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    49253 (1.5%, 55.4%)    696 (1.1%, 15.4%)  serde_cbor::de::Deserializer<R>::parse_map::{{closure}}
    35895 (1.1%, 56.5%)    709 (1.1%, 16.5%)  <serde_cbor::de::SeqAccess<R> as serde::de::SeqAccess>::next_element_seed
    34637 (1.1%, 57.6%)    696 (1.1%, 17.5%)  serde_cbor::de::Deserializer<R>::parse_array::{{closure}}
    34162 (1.1%, 58.6%)    810 (1.2%, 18.7%)  <serde_cbor::de::VariantAccess<T> as serde::de::VariantAccess>::newtype_variant_seed
    27840 (0.9%, 59.5%)    696 (1.1%, 19.8%)  serde_cbor::de::Deserializer<R>::parse_bytes
    26685 (0.8%, 60.3%)    260 (0.4%, 20.2%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    24946 (0.8%, 61.1%)   1111 (1.7%, 21.9%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
    23338 (0.7%, 61.8%)    526 (0.8%, 22.7%)  serde::de::Visitor::visit_i128
    20120 (0.6%, 62.4%)     76 (0.1%, 22.8%)  <&mut serde_cbor::de::Deserializer<R> as serde::de::Deserializer>::deserialize_enum
